work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Research Engineer,US,0,US,M
2023,SE,FT,Research Engineer,US,0,US,M
2023,EX,FT,Data Scientist,US,0,US,M
2023,EX,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Computer Vision Engineer,US,0,US,M
2023,SE,FT,Computer Vision Engineer,US,0,US,M
2023,SE,FT,Data Architect,US,100,US,M
2023,SE,FT,Data Architect,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,MI,FT,Data Scientist,HK,0,HK,L
2023,SE,FT,Machine Learning Engineer,PT,100,US,M
2023,MI,FT,Applied Machine Learning Engineer,IN,100,DE,S
2022,EN,FT,AI Developer,IN,50,IN,L
2023,MI,FT,Machine Learning Engineer,NL,100,NL,L
2023,SE,FT,Business Intelligence Engineer,US,0,US,M
2023,SE,FT,Business Intelligence Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Scientist,ES,0,ES,M
2023,SE,FT,Data Scientist,ES,0,ES,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,EN,FT,Machine Learning Engineer,US,0,US,M
2023,EN,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Analyst,US,0,US,L
2023,SE,FT,Data Analyst,US,0,US,L
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Research Engineer,US,0,US,M
2023,SE,FT,Research Engineer,US,0,US,M
2023,EN,FT,Research Scientist,US,50,US,L
2022,EN,FT,Machine Learning Engineer,CH,100,CH,S
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,100,US,M
2023,SE,FT,Machine Learning Engineer,US,100,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Analytics Manager,US,0,US,M
2023,MI,FT,Data Analytics Manager,US,0,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,L
2023,SE,FT,Machine Learning Engineer,US,0,US,L
2023,MI,FT,Data Engineer,US,100,US,M
2023,MI,FT,Data Engineer,US,100,US,M
2023,EN,FT,Data Engineer,US,0,US,M
2023,EN,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,EN,FT,Data Analyst,US,0,US,M
2023,EN,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,100,US,M
2023,SE,FT,Machine Learning Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,100,US,M
2023,MI,FT,Data Engineer,US,100,US,M
2023,MI,FT,Business Data Analyst,US,50,US,L
2023,MI,FT,Applied Data Scientist,IN,100,IN,L
2023,MI,FT,Data Analyst,GB,0,GB,M
2023,MI,FT,Data Analyst,GB,0,GB,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,SE,FT,Analytics Engineer,US,100,US,M
2023,SE,FT,Analytics Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Data Analyst,CF,100,CF,M
2023,SE,FT,Data Analyst,CF,100,CF,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,MI,FT,Data Scientist,GB,0,GB,M
2023,MI,FT,Data Scientist,GB,0,GB,M
2020,EX,FT,Staff Data Analyst,NG,0,CA,M
2023,MI,FT,ETL Engineer,GB,100,GB,M
2023,MI,FT,ETL Engineer,GB,100,GB,M
2023,EN,FT,Data Analyst,US,100,US,M
2023,EN,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,MI,FT,Machine Learning Engineer,US,0,US,M
2023,MI,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,MI,FT,Research Engineer,US,0,US,M
2023,MI,FT,Research Engineer,US,0,US,M
2023,SE,FT,Data Architect,US,100,US,M
2023,SE,FT,Data Architect,US,100,US,M
2023,SE,FT,Data Architect,US,100,US,M
2023,SE,FT,Data Architect,US,100,US,M
2023,SE,FT,Data DevOps Engineer,FR,50,FR,S
2023,EX,FT,Data Engineer,US,0,US,M
2023,EX,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Computer Vision Engineer,US,0,US,M
2023,SE,FT,Computer Vision Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Data Scientist,CA,0,CA,M
2023,SE,FT,Data Scientist,CA,0,CA,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,EN,FT,Data Engineer,IN,100,IN,L
2023,SE,FT,Applied Data Scientist,AU,100,FI,M
2023,MI,FT,AI Developer,FI,0,FI,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,EX,FT,Head of Data,US,0,US,M
2023,EX,FT,Head of Data,US,0,US,M
2023,SE,FT,Data Quality Analyst,US,0,US,M
2023,SE,FT,Data Quality Analyst,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,MI,FT,AI Developer,US,100,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,EX,FT,Data Engineer,US,0,US,M
2023,EX,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,L
2023,SE,FT,Data Scientist,US,0,US,L
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Science Manager,US,0,US,M
2023,SE,FT,Data Science Manager,US,0,US,M
2023,SE,FT,Analytics Engineer,US,100,US,M
2023,SE,FT,Analytics Engineer,US,100,US,M
2022,SE,FT,Data Scientist,ES,100,GB,L
2023,EN,FT,Data Engineer,US,0,US,M
2023,EN,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Research Engineer,US,0,US,M
2023,SE,FT,Research Engineer,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Scientist,ES,0,ES,M
2023,SE,FT,Data Scientist,ES,0,ES,M
2023,SE,FT,Data Engineer,US,0,US,L
2023,SE,FT,Data Engineer,US,0,US,L
2023,SE,FT,Analytics Engineer,US,100,US,M
2023,SE,FT,Analytics Engineer,US,100,US,M
2023,SE,FT,Analytics Engineer,US,100,US,M
2023,SE,FT,Analytics Engineer,US,100,US,M
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Applied Scientist,US,0,US,L
2023,EX,FT,Data Engineer,US,0,US,M
2023,EX,FT,Data Engineer,US,0,US,M
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Research Scientist,US,100,US,M
2023,SE,FT,Research Scientist,US,100,US,M
2023,SE,FT,Applied Scientist,US,100,US,M
2023,SE,FT,Applied Scientist,US,100,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Applied Scientist,US,0,US,L
2023,EX,FT,Analytics Engineer,US,100,US,M
2023,EX,FT,Analytics Engineer,US,100,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Research Scientist,US,0,US,M
2023,SE,FT,Research Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Manager,US,0,US,M
2023,SE,FT,Data Manager,US,0,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Manager,US,100,US,M
2023,SE,FT,Data Manager,US,100,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,EN,FT,Data Analyst,CA,0,CA,L
2022,SE,FT,AI Developer,CA,0,CA,S
2023,SE,FL,Machine Learning Researcher,UA,50,UA,S
2023,MI,FT,Machine Learning Engineer,US,100,US,M
2023,MI,FT,Machine Learning Engineer,US,100,US,M
2023,EN,FT,Data Scientist,CA,100,CA,L
2023,SE,FT,Data Architect,US,0,US,M
2023,SE,FT,Data Architect,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,EN,FT,Data Scientist,US,100,US,M
2023,EN,FT,Data Scientist,US,100,US,M
2023,MI,FT,Data Scientist,US,100,US,M
2023,MI,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Analyst,CA,100,CA,M
2023,SE,FT,Data Analyst,CA,100,CA,M
2023,EN,FT,Data Engineer,US,0,US,M
2023,EN,FT,Data Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,EN,FT,Applied Scientist,US,0,US,L
2023,EN,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Quality Analyst,US,0,US,M
2023,SE,FT,Data Quality Analyst,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Machine Learning Engineer,US,100,US,M
2023,SE,FT,Machine Learning Engineer,US,100,US,M
2023,MI,FT,Big Data Engineer,ES,100,ES,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,MI,FT,Data Analyst,US,0,US,M
2023,MI,FT,Data Analyst,US,0,US,M
2023,MI,FT,Research Scientist,GB,0,GB,M
2023,MI,FT,Research Scientist,GB,0,GB,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Specialist,US,0,US,M
2023,MI,FT,Data Specialist,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Analytics Manager,US,100,US,M
2023,SE,FT,Data Analytics Manager,US,100,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,MI,FT,Data Scientist,US,100,US,M
2023,MI,FT,Data Scientist,US,100,US,M
2023,EX,FT,Data Scientist,US,0,US,M
2023,EX,FT,Data Scientist,US,0,US,M
2023,MI,FT,Lead Data Analyst,US,0,US,L
2023,EN,FT,BI Data Engineer,US,100,US,M
2023,SE,FT,Data Scientist,ES,0,ES,M
2023,SE,FT,Data Scientist,ES,0,ES,M
2023,EN,FT,Data Engineer,US,0,US,M
2023,EN,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,EN,FT,Research Engineer,US,0,US,M
2023,EN,FT,Research Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,EX,FT,Data Architect,US,0,US,M
2023,EX,FT,Data Architect,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,EN,FT,Research Engineer,US,0,US,M
2023,EN,FT,Research Engineer,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,EN,FT,Data Analyst,US,100,US,M
2023,EN,FT,Data Analyst,US,100,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,MI,FT,Data Manager,US,0,US,M
2023,MI,FT,Data Manager,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,IE,0,IE,M
2023,SE,FT,Data Scientist,IE,0,IE,M
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Applied Scientist,US,0,US,L
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Applied Scientist,US,100,US,M
2023,SE,FT,Applied Scientist,US,100,US,M
2023,SE,FT,Machine Learning Engineer,CA,100,CA,M
2023,SE,FT,Machine Learning Engineer,CA,100,CA,M
2023,MI,FT,Data Analyst,US,0,US,M
2023,MI,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Analyst,GB,0,GB,M
2023,MI,FT,Data Analyst,GB,0,GB,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,EN,FT,Data Engineer,US,100,US,M
2023,EN,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Scientist,CA,0,CA,M
2023,SE,FT,Data Scientist,CA,0,CA,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,MI,FT,Data Architect,US,0,US,M
2023,MI,FT,Data Architect,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2022,EN,FT,Data Engineer,NL,100,NL,L
2023,EX,FT,Data Engineer,US,100,US,M
2023,EX,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,EX,FT,Director of Data Science,US,0,US,M
2023,EX,FT,Director of Data Science,US,0,US,M
2023,MI,FT,Machine Learning Scientist,US,0,US,M
2023,MI,FT,Machine Learning Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,MI,FT,Research Scientist,US,100,US,M
2023,MI,FT,Research Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,EN,FT,Business Data Analyst,ES,0,ES,M
2023,SE,FT,AI Developer,UA,0,UA,M
2023,SE,FT,AI Developer,UA,0,UA,M
2023,MI,FT,MLOps Engineer,US,100,US,M
2023,MI,FT,MLOps Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Research Scientist,US,0,US,M
2023,SE,FT,Research Scientist,US,0,US,M
2023,EN,FT,Research Engineer,US,0,US,M
2023,EN,FT,Research Engineer,US,0,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Architect,US,100,US,M
2023,SE,FT,Data Architect,US,100,US,M
2023,MI,FT,Data Architect,US,0,US,M
2023,MI,FT,Data Architect,US,0,US,M
2023,SE,FT,Research Scientist,US,0,US,M
2023,SE,FT,Research Scientist,US,0,US,M
2023,MI,FT,Machine Learning Engineer,US,50,US,L
2023,SE,FT,AI Scientist,IL,0,IL,L
2023,SE,FT,Machine Learning Engineer,US,100,US,M
2023,SE,FT,Machine Learning Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Engineer,US,100,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,MI,FT,Machine Learning Engineer,US,0,US,M
2023,MI,FT,Machine Learning Engineer,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Analytics Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Engineer,US,0,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,SE,FT,Data Scientist,US,100,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,MI,FT,Data Engineer,US,0,US,M
2023,EX,FT,Data Scientist,US,0,US,M
2023,EX,FT,Data Scientist,US,0,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Analyst,US,100,US,M
2023,SE,FT,Data Analyst,US,0,US,M
2023,SE,FT,Data Analyst,US,0,US,M
