remote_ratio,salary_in_usd,work_year,company_size,experience_level,employee_residence,company_location,job_title
100,150000,2022,M,SE,PT,US,ML Engineer
100,69751,2022,S,MI,IN,DE,other
50,300000,2022,L,EN,IN,IN,AI Developer
100,96578,2022,L,MI,NL,NL,ML Engineer
0,185900,2022,M,SE,US,US,other
0,129299,2022,M,SE,US,US,other
100,225000,2022,M,SE,US,US,Data Engineer
100,175000,2022,M,SE,US,US,Data Engineer
0,185000,2022,M,SE,US,US,Data Engineer
0,140000,2022,M,SE,US,US,Data Engineer
0,48289,2022,M,SE,ES,ES,Data Scientist
0,38631,2022,M,SE,ES,ES,Data Scientist
0,105000,2022,M,SE,US,US,Data Scientist
0,70000,2022,M,SE,US,US,Data Scientist
0,163196,2022,M,EN,US,US,ML Engineer
0,145885,2022,M,EN,US,US,ML Engineer
100,217000,2022,M,SE,US,US,Data Engineer
100,185000,2022,M,SE,US,US,Data Engineer
0,202800,2022,L,SE,US,US,Data Analyst
0,104300,2022,L,SE,US,US,Data Analyst
0,145000,2022,M,SE,US,US,Data Analyst
0,65000,2022,M,SE,US,US,Data Analyst
0,165000,2022,M,SE,US,US,Data Engineer
0,132300,2022,M,SE,US,US,Data Engineer
0,179170,2022,M,SE,US,US,Data Engineer
0,94300,2022,M,SE,US,US,Data Engineer
0,152500,2022,M,SE,US,US,Analytics Engineer
0,116450,2022,M,SE,US,US,Analytics Engineer
0,247300,2022,M,SE,US,US,Data Engineer
0,133800,2022,M,SE,US,US,Data Engineer
0,203000,2022,M,SE,US,US,Research Engineer
0,133000,2022,M,SE,US,US,Research Engineer
50,220000,2022,L,EN,US,US,Research Scientist
100,56536,2022,S,EN,other,other,ML Engineer
0,150000,2022,M,SE,US,US,Data Scientist
0,120000,2022,M,SE,US,US,Data Scientist
0,289800,2022,M,SE,US,US,Analytics Engineer
0,214000,2022,M,SE,US,US,Analytics Engineer
0,179820,2022,M,SE,US,US,Analytics Engineer
0,143860,2022,M,SE,US,US,Analytics Engineer
100,283200,2022,M,SE,US,US,ML Engineer
100,188800,2022,M,SE,US,US,ML Engineer
0,289800,2022,M,SE,US,US,Analytics Engineer
0,214200,2022,M,SE,US,US,Analytics Engineer
0,185900,2022,M,SE,US,US,Data Engineer
0,129299,2022,M,SE,US,US,Data Engineer
0,252000,2022,M,SE,US,US,Data Engineer
0,129000,2022,M,SE,US,US,Data Engineer
0,155000,2022,M,MI,US,US,Data Analytics Manager
0,140000,2022,M,MI,US,US,Data Analytics Manager
100,161800,2022,M,SE,US,US,Data Engineer
100,141600,2022,M,SE,US,US,Data Engineer
0,342300,2022,L,SE,US,US,ML Engineer
0,176100,2022,L,SE,US,US,ML Engineer
100,100000,2022,M,MI,US,US,Data Engineer
100,70000,2022,M,MI,US,US,Data Engineer
0,85000,2022,M,EN,US,US,Data Engineer
0,65000,2022,M,EN,US,US,Data Engineer
100,138784,2022,M,SE,US,US,Data Scientist
100,83270,2022,M,SE,US,US,Data Scientist
0,75000,2022,M,EN,US,US,Data Analyst
0,70000,2022,M,EN,US,US,Data Analyst
0,204500,2022,M,SE,US,US,Data Analyst
0,138900,2022,M,SE,US,US,Data Analyst
100,318300,2022,M,SE,US,US,ML Engineer
100,212200,2022,M,SE,US,US,ML Engineer
100,95000,2022,M,SE,US,US,Data Engineer
100,75000,2022,M,SE,US,US,Data Engineer
0,195000,2022,M,SE,US,US,Data Scientist
0,160000,2022,M,SE,US,US,Data Scientist
0,230000,2022,M,SE,US,US,Analytics Engineer
0,143200,2022,M,SE,US,US,Analytics Engineer
100,100000,2022,M,MI,US,US,Data Engineer
100,70000,2022,M,MI,US,US,Data Engineer
50,105000,2022,L,MI,US,US,Business Data Analyst
100,20670,2022,L,MI,IN,IN,other
0,46178,2022,M,MI,GB,GB,Data Analyst
0,42533,2022,M,MI,GB,GB,Data Analyst
0,145000,2022,M,SE,US,US,Data Engineer
0,115000,2022,M,SE,US,US,Data Engineer
0,168400,2022,M,SE,US,US,Data Analyst
0,105200,2022,M,SE,US,US,Data Analyst
0,309400,2022,L,SE,US,US,Applied Scientist
0,159100,2022,L,SE,US,US,Applied Scientist
0,190000,2022,M,SE,US,US,ML Engineer
0,150000,2022,M,SE,US,US,ML Engineer
0,162500,2022,M,MI,US,US,Data Engineer
0,130000,2022,M,MI,US,US,Data Engineer
100,150000,2022,M,SE,US,US,Analytics Engineer
100,120000,2022,M,SE,US,US,Analytics Engineer
0,145000,2022,M,SE,US,US,Data Engineer
0,120000,2022,M,SE,US,US,Data Engineer
0,222200,2022,L,SE,US,US,Applied Scientist
0,136000,2022,L,SE,US,US,Applied Scientist
100,54685,2022,M,SE,other,other,Data Analyst
100,42533,2022,M,SE,other,other,Data Analyst
0,241000,2022,M,SE,US,US,Data Engineer
0,155000,2022,M,SE,US,US,Data Engineer
100,220000,2022,M,SE,US,US,Data Engineer
100,190000,2022,M,SE,US,US,Data Engineer
0,66837,2022,M,MI,GB,GB,Data Scientist
0,54685,2022,M,MI,GB,GB,Data Scientist
0,15000,2019,M,EX,other,CA,other
100,85066,2022,M,MI,GB,GB,other
100,57723,2022,M,MI,GB,GB,other
100,85000,2022,M,EN,US,US,Data Analyst
100,75000,2022,M,EN,US,US,Data Analyst
0,160000,2022,M,SE,US,US,Data Engineer
0,140000,2022,M,SE,US,US,Data Engineer
0,300000,2022,M,MI,US,US,ML Engineer
0,250000,2022,M,MI,US,US,ML Engineer
0,227999,2022,M,SE,US,US,Data Scientist
0,186000,2022,M,SE,US,US,Data Scientist
0,190000,2022,M,SE,US,US,Data Scientist
0,170000,2022,M,SE,US,US,Data Scientist
0,230000,2022,M,MI,US,US,Research Engineer
0,200000,2022,M,MI,US,US,Research Engineer
100,180000,2022,M,SE,US,US,Data Architect
100,115000,2022,M,SE,US,US,Data Architect
100,200000,2022,M,SE,US,US,Data Architect
100,115000,2022,M,SE,US,US,Data Architect
50,53654,2022,S,SE,FR,FR,other
0,220000,2022,M,EX,US,US,Data Engineer
0,205000,2022,M,EX,US,US,Data Engineer
0,180000,2022,M,MI,US,US,Data Engineer
0,130000,2022,M,MI,US,US,Data Engineer
100,200000,2022,M,SE,US,US,Data Engineer
100,150000,2022,M,SE,US,US,Data Engineer
0,215000,2022,M,SE,US,US,Computer Vision Engineer
0,170000,2022,M,SE,US,US,Computer Vision Engineer
0,247500,2022,M,SE,US,US,ML Engineer
0,172200,2022,M,SE,US,US,ML Engineer
0,224000,2022,M,SE,CA,CA,Data Scientist
0,176000,2022,M,SE,CA,CA,Data Scientist
100,120000,2022,M,SE,US,US,Data Analyst
100,75000,2022,M,SE,US,US,Data Analyst
100,17022,2022,L,EN,IN,IN,Data Engineer
100,68318,2022,M,SE,AU,other,other
0,75020,2022,M,MI,other,other,AI Developer
0,140000,2022,M,SE,US,US,Data Analyst
0,120000,2022,M,SE,US,US,Data Analyst
0,128000,2022,M,SE,US,US,Data Engineer
0,81500,2022,M,SE,US,US,Data Engineer
0,145000,2022,M,SE,US,US,Data Engineer
0,115000,2022,M,SE,US,US,Data Engineer
0,185000,2022,M,SE,US,US,Data Engineer
0,140000,2022,M,SE,US,US,Data Engineer
0,329500,2022,M,EX,US,US,other
0,269600,2022,M,EX,US,US,other
0,100000,2022,M,SE,US,US,other
0,80000,2022,M,SE,US,US,other
0,250000,2022,M,SE,US,US,Data Scientist
0,162500,2022,M,SE,US,US,Data Scientist
100,200000,2022,M,MI,US,US,AI Developer
0,145000,2022,M,SE,US,US,Data Engineer
0,100000,2022,M,SE,US,US,Data Engineer
0,145000,2022,M,EX,US,US,Data Engineer
0,115000,2022,M,EX,US,US,Data Engineer
0,203500,2022,M,SE,US,US,Data Scientist
0,152000,2022,M,SE,US,US,Data Scientist
0,239000,2022,L,SE,US,US,Data Scientist
0,122900,2022,L,SE,US,US,Data Scientist
0,237000,2022,M,SE,US,US,Data Scientist
0,145000,2022,M,SE,US,US,Data Scientist
0,191765,2022,M,SE,US,US,Data Science Manager
0,134236,2022,M,SE,US,US,Data Science Manager
100,190000,2022,M,SE,US,US,Analytics Engineer
100,112000,2022,M,SE,US,US,Analytics Engineer
100,88256,2022,L,SE,ES,GB,Data Scientist
0,85000,2022,M,EN,US,US,Data Engineer
0,65000,2022,M,EN,US,US,Data Engineer
0,135000,2022,M,SE,US,US,Data Analyst
0,105500,2022,M,SE,US,US,Data Analyst
0,293000,2022,M,SE,US,US,Research Engineer
0,185000,2022,M,SE,US,US,Research Engineer
0,80000,2022,M,SE,US,US,Data Analyst
0,70000,2022,M,SE,US,US,Data Analyst
100,220000,2022,M,SE,US,US,Data Engineer
100,160000,2022,M,SE,US,US,Data Engineer
100,175000,2022,M,SE,US,US,Data Scientist
100,145000,2022,M,SE,US,US,Data Scientist
0,200000,2022,M,SE,US,US,Data Analyst
0,148500,2022,M,SE,US,US,Data Analyst
0,48289,2022,M,SE,ES,ES,Data Scientist
0,38631,2022,M,SE,ES,ES,Data Scientist
0,240499,2022,L,SE,US,US,Data Engineer
0,123700,2022,L,SE,US,US,Data Engineer
100,152900,2022,M,SE,US,US,Analytics Engineer
100,117100,2022,M,SE,US,US,Analytics Engineer
100,173000,2022,M,SE,US,US,Analytics Engineer
100,113000,2022,M,SE,US,US,Analytics Engineer
0,260000,2022,L,SE,US,US,Applied Scientist
0,136000,2022,L,SE,US,US,Applied Scientist
0,175000,2022,M,EX,US,US,Data Engineer
0,110000,2022,M,EX,US,US,Data Engineer
0,260000,2022,L,SE,US,US,Applied Scientist
0,136000,2022,L,SE,US,US,Applied Scientist
100,130000,2022,M,SE,US,US,Research Scientist
100,110000,2022,M,SE,US,US,Research Scientist
100,205000,2022,M,SE,US,US,Applied Scientist
100,184000,2022,M,SE,US,US,Applied Scientist
100,149500,2022,M,SE,US,US,Data Analyst
100,127075,2022,M,SE,US,US,Data Analyst
0,195000,2022,M,SE,US,US,Data Scientist
0,160000,2022,M,SE,US,US,Data Scientist
100,219535,2022,M,SE,US,US,Data Engineer
100,146115,2022,M,SE,US,US,Data Engineer
0,170000,2022,M,SE,US,US,Data Scientist
0,135000,2022,M,SE,US,US,Data Scientist
100,175000,2022,M,SE,US,US,Data Scientist
100,145000,2022,M,SE,US,US,Data Scientist
0,199000,2022,M,SE,US,US,Data Scientist
0,162000,2022,M,SE,US,US,Data Scientist
0,222200,2022,L,SE,US,US,Applied Scientist
0,136000,2022,L,SE,US,US,Applied Scientist
100,221000,2022,M,EX,US,US,Analytics Engineer
100,153000,2022,M,EX,US,US,Analytics Engineer
0,187000,2022,M,SE,US,US,Data Analyst
0,128000,2022,M,SE,US,US,Data Analyst
0,210000,2022,M,SE,US,US,Research Scientist
0,136000,2022,M,SE,US,US,Research Scientist
100,175000,2022,M,SE,US,US,Data Scientist
100,100000,2022,M,SE,US,US,Data Scientist
0,179000,2022,M,SE,US,US,Data Engineer
0,109000,2022,M,SE,US,US,Data Engineer
0,245000,2022,M,SE,US,US,Data Scientist
0,180000,2022,M,SE,US,US,Data Scientist
100,142000,2022,M,SE,US,US,Data Analyst
100,75000,2022,M,SE,US,US,Data Analyst
0,198800,2022,M,SE,US,US,Data Manager
0,105200,2022,M,SE,US,US,Data Manager
100,125000,2022,M,SE,US,US,Data Analyst
100,112000,2022,M,SE,US,US,Data Analyst
0,210000,2022,M,SE,US,US,Data Scientist
0,155000,2022,M,SE,US,US,Data Scientist
100,115000,2022,M,SE,US,US,Data Manager
100,86000,2022,M,SE,US,US,Data Manager
0,165000,2022,M,SE,US,US,Data Scientist
0,140000,2022,M,SE,US,US,Data Scientist
0,139000,2022,M,SE,US,US,Data Analyst
0,106000,2022,M,SE,US,US,Data Analyst
0,40663,2022,L,EN,CA,CA,Data Analyst
0,275000,2022,S,SE,CA,CA,AI Developer
50,50000,2022,S,SE,other,other,other
100,280700,2022,M,MI,US,US,ML Engineer
100,150450,2022,M,MI,US,US,ML Engineer
100,51753,2022,L,EN,CA,CA,Data Scientist
0,250500,2022,M,SE,US,US,Data Architect
0,159500,2022,M,SE,US,US,Data Architect
0,145000,2022,M,SE,US,US,Data Engineer
0,115000,2022,M,SE,US,US,Data Engineer
0,140000,2022,M,SE,US,US,Data Analyst
0,120000,2022,M,SE,US,US,Data Analyst
100,130000,2022,M,EN,US,US,Data Scientist
100,71907,2022,M,EN,US,US,Data Scientist
100,93918,2022,M,MI,US,US,Data Scientist
100,51962,2022,M,MI,US,US,Data Scientist
100,175000,2022,M,SE,CA,CA,Data Analyst
100,135000,2022,M,SE,CA,CA,Data Analyst
0,85000,2022,M,EN,US,US,Data Engineer
0,65000,2022,M,EN,US,US,Data Engineer
0,257000,2022,M,SE,US,US,ML Engineer
0,147000,2022,M,SE,US,US,ML Engineer
100,222000,2022,M,SE,US,US,Data Engineer
100,175000,2022,M,SE,US,US,Data Engineer
100,203000,2022,M,SE,US,US,Data Scientist
100,133200,2022,M,SE,US,US,Data Scientist
0,213660,2022,L,EN,US,US,Applied Scientist
0,130760,2022,L,EN,US,US,Applied Scientist
0,221000,2022,M,SE,US,US,Data Engineer
0,147000,2022,M,SE,US,US,Data Engineer
0,100000,2022,M,SE,US,US,other
0,80000,2022,M,SE,US,US,other
0,185900,2022,M,SE,US,US,Data Scientist
0,129299,2022,M,SE,US,US,Data Scientist
100,237999,2022,M,SE,US,US,Data Scientist
100,156000,2022,M,SE,US,US,Data Scientist
100,304000,2022,M,SE,US,US,ML Engineer
100,199000,2022,M,SE,US,US,ML Engineer
100,48289,2022,M,MI,ES,ES,Big Data Engineer
0,150000,2022,M,SE,US,US,Data Engineer
0,130000,2022,M,SE,US,US,Data Engineer
100,140000,2022,M,SE,US,US,Data Scientist
100,110000,2022,M,SE,US,US,Data Scientist
0,90000,2022,M,MI,US,US,Data Analyst
0,75000,2022,M,MI,US,US,Data Analyst
0,195895,2022,M,MI,GB,GB,Research Scientist
0,102772,2022,M,MI,GB,GB,Research Scientist
0,240000,2022,M,SE,US,US,Data Engineer
0,183600,2022,M,SE,US,US,Data Engineer
0,130000,2022,M,MI,US,US,Data Specialist
0,80000,2022,M,MI,US,US,Data Specialist
0,250000,2022,M,SE,US,US,Data Engineer
0,150000,2022,M,SE,US,US,Data Engineer
100,160000,2022,M,SE,US,US,Data Analytics Manager
100,120000,2022,M,SE,US,US,Data Analytics Manager
0,289076,2022,M,SE,US,US,ML Engineer
0,202353,2022,M,SE,US,US,ML Engineer
0,145000,2022,M,SE,US,US,Data Engineer
0,120000,2022,M,SE,US,US,Data Engineer
0,155000,2022,M,SE,US,US,Data Analyst
0,106000,2022,M,SE,US,US,Data Analyst
0,200000,2022,M,SE,US,US,Data Engineer
0,160000,2022,M,SE,US,US,Data Engineer
100,157750,2022,M,SE,US,US,Data Scientist
100,104650,2022,M,SE,US,US,Data Scientist
100,180000,2022,M,MI,US,US,Data Scientist
100,140000,2022,M,MI,US,US,Data Scientist
0,200000,2022,M,EX,US,US,Data Scientist
0,145000,2022,M,EX,US,US,Data Scientist
0,68000,2022,L,MI,US,US,other
100,60000,2022,M,EN,US,US,other
0,48289,2022,M,SE,ES,ES,Data Scientist
0,38631,2022,M,SE,ES,ES,Data Scientist
0,85000,2022,M,EN,US,US,Data Engineer
0,65000,2022,M,EN,US,US,Data Engineer
0,125000,2022,M,MI,US,US,Data Engineer
0,90000,2022,M,MI,US,US,Data Engineer
100,105000,2022,M,SE,US,US,Data Analyst
100,90000,2022,M,SE,US,US,Data Analyst
0,179820,2022,M,SE,US,US,Analytics Engineer
0,143860,2022,M,SE,US,US,Analytics Engineer
0,135000,2022,M,SE,US,US,Data Analyst
0,105500,2022,M,SE,US,US,Data Analyst
0,155000,2022,M,EN,US,US,Research Engineer
0,125000,2022,M,EN,US,US,Research Engineer
0,241000,2022,M,SE,US,US,ML Engineer
0,181000,2022,M,SE,US,US,ML Engineer
0,252000,2022,M,SE,US,US,Data Scientist
0,154000,2022,M,SE,US,US,Data Scientist
0,180000,2022,M,EX,US,US,Data Architect
0,155000,2022,M,EX,US,US,Data Architect
0,191765,2022,M,SE,US,US,Data Scientist
0,134236,2022,M,SE,US,US,Data Scientist
100,175000,2022,M,SE,US,US,Data Scientist
100,145000,2022,M,SE,US,US,Data Scientist
100,237000,2022,M,SE,US,US,Data Scientist
100,145000,2022,M,SE,US,US,Data Scientist
0,155000,2022,M,EN,US,US,Research Engineer
0,125000,2022,M,EN,US,US,Research Engineer
0,80000,2022,M,SE,US,US,Data Analyst
0,70000,2022,M,SE,US,US,Data Analyst
0,146000,2022,M,SE,US,US,Data Engineer
0,75000,2022,M,SE,US,US,Data Engineer
100,64200,2022,M,EN,US,US,Data Analyst
100,56100,2022,M,EN,US,US,Data Analyst
0,170000,2022,M,SE,US,US,ML Engineer
0,130000,2022,M,SE,US,US,ML Engineer
100,208450,2022,M,SE,US,US,Data Analyst
100,170550,2022,M,SE,US,US,Data Analyst
0,125000,2022,M,SE,US,US,ML Engineer
0,100000,2022,M,SE,US,US,ML Engineer
0,135000,2022,M,MI,US,US,Data Manager
0,120000,2022,M,MI,US,US,Data Manager
100,200000,2022,M,SE,US,US,Data Scientist
100,170000,2022,M,SE,US,US,Data Scientist
0,171250,2022,M,SE,other,other,Data Scientist
0,113750,2022,M,SE,other,other,Data Scientist
0,222200,2022,L,SE,US,US,Applied Scientist
0,136000,2022,L,SE,US,US,Applied Scientist
0,260000,2022,L,SE,US,US,Applied Scientist
0,136000,2022,L,SE,US,US,Applied Scientist
0,153600,2022,M,SE,US,US,Data Analyst
0,100500,2022,M,SE,US,US,Data Analyst
100,205000,2022,M,SE,US,US,Applied Scientist
100,184000,2022,M,SE,US,US,Applied Scientist
100,115000,2022,M,SE,CA,CA,ML Engineer
100,95000,2022,M,SE,CA,CA,ML Engineer
0,182500,2022,M,MI,US,US,Data Analyst
0,121500,2022,M,MI,US,US,Data Analyst
0,203100,2022,M,SE,US,US,Data Engineer
0,114500,2022,M,SE,US,US,Data Engineer
0,72914,2022,M,MI,GB,GB,Data Analyst
0,54685,2022,M,MI,GB,GB,Data Analyst
0,252000,2022,M,SE,US,US,Data Engineer
0,129000,2022,M,SE,US,US,Data Engineer
100,92700,2022,M,EN,US,US,Data Engineer
100,61800,2022,M,EN,US,US,Data Engineer
100,160000,2022,M,SE,US,US,Data Engineer
100,130000,2022,M,SE,US,US,Data Engineer
0,258000,2022,M,SE,CA,CA,Data Scientist
0,190000,2022,M,SE,CA,CA,Data Scientist
0,170000,2022,M,SE,US,US,Data Scientist
0,135000,2022,M,SE,US,US,Data Scientist
0,167500,2022,M,MI,US,US,Data Architect
0,106500,2022,M,MI,US,US,Data Architect
0,195000,2022,M,SE,US,US,Data Scientist
0,160000,2022,M,SE,US,US,Data Scientist
0,146000,2022,M,MI,US,US,Data Engineer
0,75000,2022,M,MI,US,US,Data Engineer
100,59888,2022,L,EN,NL,NL,Data Engineer
100,286000,2022,M,EX,US,US,Data Engineer
100,207000,2022,M,EX,US,US,Data Engineer
100,100000,2022,M,SE,US,US,Data Analyst
100,80000,2022,M,SE,US,US,Data Analyst
0,223250,2022,M,SE,US,US,Data Engineer
0,178600,2022,M,SE,US,US,Data Engineer
0,353200,2022,M,EX,US,US,Director of Data Science
0,249300,2022,M,EX,US,US,Director of Data Science
0,230000,2022,M,MI,US,US,Machine Learning Scientist
0,220000,2022,M,MI,US,US,Machine Learning Scientist
100,297300,2022,M,SE,US,US,Data Scientist
100,198200,2022,M,SE,US,US,Data Scientist
100,210000,2022,M,MI,US,US,Research Scientist
100,151800,2022,M,MI,US,US,Research Scientist
100,200000,2022,M,SE,US,US,Data Scientist
100,170000,2022,M,SE,US,US,Data Scientist
0,317070,2022,M,SE,US,US,Data Scientist
0,170730,2022,M,SE,US,US,Data Scientist
0,128000,2022,M,SE,US,US,Data Engineer
0,81500,2022,M,SE,US,US,Data Engineer
0,21461,2022,M,EN,ES,ES,Business Data Analyst
0,108000,2022,M,SE,other,other,AI Developer
0,60000,2022,M,SE,other,other,AI Developer
100,134000,2022,M,MI,US,US,other
100,124000,2022,M,MI,US,US,other
0,171250,2022,M,SE,US,US,Data Engineer
0,113750,2022,M,SE,US,US,Data Engineer
0,165000,2022,M,SE,US,US,Data Engineer
0,132300,2022,M,SE,US,US,Data Engineer
0,225000,2022,M,SE,US,US,Data Scientist
0,175000,2022,M,SE,US,US,Data Scientist
0,230000,2022,M,SE,US,US,Data Engineer
0,124499,2022,M,SE,US,US,Data Engineer
0,247500,2022,M,SE,US,US,ML Engineer
0,172200,2022,M,SE,US,US,ML Engineer
0,175000,2022,M,SE,US,US,Data Analyst
0,145000,2022,M,SE,US,US,Data Analyst
0,148700,2022,M,SE,US,US,Data Analyst
0,125600,2022,M,SE,US,US,Data Analyst
0,145000,2022,M,SE,US,US,Data Engineer
0,115000,2022,M,SE,US,US,Data Engineer
0,200000,2022,M,SE,US,US,Research Scientist
0,150000,2022,M,SE,US,US,Research Scientist
0,160000,2022,M,EN,US,US,Research Engineer
0,120000,2022,M,EN,US,US,Research Engineer
100,185000,2022,M,SE,US,US,Data Analyst
100,120249,2022,M,SE,US,US,Data Analyst
100,275300,2022,M,SE,US,US,Data Scientist
100,183000,2022,M,SE,US,US,Data Scientist
100,170000,2022,M,SE,US,US,Data Architect
100,125000,2022,M,SE,US,US,Data Architect
0,167500,2022,M,MI,US,US,Data Architect
0,106500,2022,M,MI,US,US,Data Architect
0,250000,2022,M,SE,US,US,Research Scientist
0,200000,2022,M,SE,US,US,Research Scientist
50,135000,2022,L,MI,US,US,ML Engineer
0,423834,2022,L,SE,other,other,AI Scientist
100,216000,2022,M,SE,US,US,ML Engineer
100,184000,2022,M,SE,US,US,ML Engineer
100,180000,2022,M,SE,US,US,Data Engineer
100,165000,2022,M,SE,US,US,Data Engineer
0,185900,2022,M,SE,US,US,Data Scientist
0,129299,2022,M,SE,US,US,Data Scientist
0,145000,2022,M,SE,US,US,Data Engineer
0,120000,2022,M,SE,US,US,Data Engineer
0,143865,2022,M,MI,US,US,Data Engineer
0,115092,2022,M,MI,US,US,Data Engineer
0,130000,2022,M,MI,US,US,ML Engineer
0,90000,2022,M,MI,US,US,ML Engineer
100,173000,2022,M,SE,US,US,Data Scientist
100,132000,2022,M,SE,US,US,Data Scientist
0,208049,2022,M,SE,US,US,Data Analyst
0,128500,2022,M,SE,US,US,Data Analyst
0,179820,2022,M,SE,US,US,Analytics Engineer
0,143860,2022,M,SE,US,US,Analytics Engineer
0,167500,2022,M,SE,US,US,Data Engineer
0,106500,2022,M,SE,US,US,Data Engineer
100,275300,2022,M,SE,US,US,Data Scientist
100,183500,2022,M,SE,US,US,Data Scientist
0,149600,2022,M,MI,US,US,Data Engineer
0,102000,2022,M,MI,US,US,Data Engineer
0,145000,2022,M,EX,US,US,Data Scientist
0,100000,2022,M,EX,US,US,Data Scientist
100,190000,2022,M,SE,US,US,Data Analyst
100,95000,2022,M,SE,US,US,Data Analyst
0,153600,2022,M,SE,US,US,Data Analyst
0,106800,2022,M,SE,US,US,Data Analyst
0,96578,2022,M,MI,other,other,Data Scientist
0,80481,2022,M,MI,other,other,Data Scientist
0,128000,2022,M,MI,US,US,Data Analyst
0,85000,2022,M,MI,US,US,Data Analyst
0,151000,2022,M,MI,US,US,Data Engineer
0,140000,2022,M,MI,US,US,Data Engineer
100,275300,2022,M,SE,US,US,Data Scientist
100,183500,2022,M,SE,US,US,Data Scientist
0,220000,2022,M,SE,US,US,Machine Learning Scientist
0,170000,2022,M,SE,US,US,Machine Learning Scientist
0,135000,2022,M,SE,US,US,Data Analyst
0,105500,2022,M,SE,US,US,Data Analyst
100,100000,2022,M,SE,US,US,Data Analyst
100,80000,2022,M,SE,US,US,Data Analyst
0,7000,2022,S,EN,other,other,other
50,42923,2022,M,EN,DE,DE,Applied Machine Learning Scientist
100,160000,2022,M,SE,CA,CA,Data Engineer
